ダウンロードした時刻：2021/10/19 16:54:08

,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,氷見,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,伏木,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,朝日,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,魚津,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山
年月日,最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(mm),平年値(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),,,,平年値(℃),平年値(℃),過去10年平均(℃),過去10年平均(℃),過去10年平均(℃),,,,,,,,,,,平年値(cm),平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,,平年値(cm),平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,,平年値(mm),平年値(mm),平年値(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),,,,平年値(℃),平年値(℃),過去10年平均(℃),過去10年平均(℃),過去10年平均(℃),,,,,,,,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(mm),平年値(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),,,,平年値(℃),平年値(℃),過去10年平均(℃),過去10年平均(℃),過去10年平均(℃),,,,,,,,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(mm),平年値(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),,,,平年値(℃),平年値(℃),過去10年平均(℃),過去10年平均(℃),過去10年平均(℃),,,,,,,,,,,平年値(cm),平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,,平年値(cm),平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,,平年値(mm),平年値(mm),平年値(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),過去10年平均(mm),,,,平年値(℃),平年値(℃),過去10年平均(℃),過去10年平均(℃),過去10年平均(℃),,,,,,
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/10/1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,1.5,8,1,4.8,8,3.1,8,1,18.4,8,1,18.9,8,19.2,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,2.5,0,8,1,5.2,,8,4.9,0,8,1,19.8,8,1,19.9,8,20.5,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,27.5,8,1,8.2,8,13.9,8,1,18.3,8,1,19.9,8,20.3,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,7.5,8,1,7.2,8,8.3,8,1,18.6,8,1,19.1,8,19.4,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,7.5,0,8,1,5.9,,8,7.2,0,8,1,20.1,8,1,19.8,8,20.6,8,1,晴時々雨一時曇,8,1,雨時々曇後晴,8,1
2020/10/2,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,4.7,8,4.3,8,1,18.2,8,1,18.8,8,19.2,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,5.2,,8,5.1,0,8,1,19.4,8,1,19.7,8,20.2,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,8.1,8,7.2,8,1,18.5,8,1,19.8,8,20.1,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,7.1,8,7.4,8,1,18.7,8,1,18.9,8,19.5,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,5.8,,8,5.1,0,8,1,19.9,8,1,19.7,8,20.2,8,1,晴,8,1,晴後時々曇,8,1
2020/10/3,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,4.6,8,2.8,8,1,18.6,8,1,18.6,8,19.3,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,5.1,,8,3.2,0,8,1,20.5,8,1,19.6,8,20.7,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,8.0,8,6.7,8,1,19.7,8,1,19.6,8,20.2,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,7.0,8,5.8,5,1,19.5,8,1,18.8,8,19.2,5,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,5.8,,8,5.8,0,8,1,21.0,8,1,19.5,8,20.6,8,1,曇後一時晴,8,1,曇時々晴,8,1
2020/10/4,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,4.6,8,7.7,8,1,20.5,8,1,18.4,8,18.6,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0.0,0,8,1,5.1,,8,6.6,0,8,1,21.7,8,1,19.4,8,19.4,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,7.9,8,9.4,8,1,21.0,8,1,19.4,8,19.0,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,6.9,8,9.1,8,1,21.0,8,1,18.6,8,17.9,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0.0,0,8,1,5.7,,8,8.0,0,8,1,21.8,8,1,19.3,8,18.9,8,1,曇一時雨,8,1,曇後時々雨,8,1
2020/10/5,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,10.0,8,1,4.5,8,3.5,8,1,17.8,8,1,18.2,8,18.1,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,4.5,0,8,1,5.1,,8,2.1,0,8,1,18.7,8,1,19.2,8,19.0,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,4.5,8,1,7.7,8,2.2,8,1,18.2,8,1,19.3,8,18.8,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,19.0,8,1,6.8,8,3.1,8,1,18.4,8,1,18.4,8,17.8,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,2.5,0,8,1,5.6,,8,2.4,0,8,1,18.9,8,1,19.1,8,18.8,8,1,雨時々曇一時晴,8,1,晴後曇一時雨,8,1
2020/10/6,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.5,8,1,4.4,8,5.8,8,1,15.7,8,1,18.1,8,18.9,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0.5,0,8,1,5.0,,8,11.0,0,8,1,17.8,8,1,19.0,8,19.7,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,7.6,8,14.5,8,1,16.8,8,1,19.1,8,19.2,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,6.6,8,10.9,8,1,16.3,8,1,18.3,8,18.6,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0.0,0,8,1,5.5,,8,9.3,0,8,1,17.2,8,1,19.0,8,19.5,8,1,曇後晴,8,1,曇一時雨,8,1
2020/10/7,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,4.3,8,2.2,8,1,17.8,8,1,17.9,8,18.4,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0.0,0,8,1,5.0,,8,1.5,0,8,1,19.8,8,1,18.9,8,19.4,8,1,,8,1,,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,7.4,8,3.6,8,1,18.2,8,1,18.9,8,19.0,8,1,,0,1,,0,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0.0,8,1,6.5,8,3.8,8,1,17.2,8,1,18.1,8,17.9,8,1,,0,1,,0,1,0,1,8,1,0,1,8,0,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0.0,0,8,1,5.4,,8,1.6,0,8,1,18.2,8,1,18.8,8,19.0,8,1,曇時々晴,8,1,雨時々曇,8,1
