1,cyclonegenesis date,2012-03-23T03:00:00+09:00
2,lifetime (hour),72
3,max. developing rate,1.11,38.8,146.2
4,minimum SLP,972.1,52.5,176.2
100,No. of timestep (or No. of lines),13
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2012-03-23,03:00:00,32.5,127.5,1009.0,-999
110,2,2012-03-23,09:00:00,33.8,130.0,1007.4,0.83
110,3,2012-03-23,15:00:00,33.8,132.5,1001.2,0.93
110,4,2012-03-23,21:00:00,35.0,136.2,998.6,0.86
110,5,2012-03-24,03:00:00,36.2,141.2,992.8,1.06
110,6,2012-03-24,09:00:00,38.8,146.2,988.0,1.11
110,7,2012-03-24,15:00:00,40.0,148.8,981.0,0.97
110,8,2012-03-24,21:00:00,42.5,152.5,977.4,0.63
110,9,2012-03-25,03:00:00,43.8,156.2,973.8,0.31
110,10,2012-03-25,09:00:00,46.2,161.2,973.8,0.11
110,11,2012-03-25,15:00:00,48.8,166.2,972.5,-0.02
110,12,2012-03-25,21:00:00,51.2,171.2,974.1,0.03
110,13,2012-03-26,03:00:00,52.5,176.2,972.1,-999
