ダウンロードした時刻：2021/11/20 21:50:41

,福井,福井,福井,福井,福井,福井,福井,大野,大野,大野,大野,大野,今庄,今庄,今庄,今庄,今庄,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,小浜,小浜,小浜,小浜,小浜
年月日,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2020/12/1,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/2,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/3,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/4,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/5,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/6,0,1,8,1,0,,8,0,8,1,2,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/7,0,1,8,1,1,,8,0,8,1,2,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/8,0,1,8,1,1,,8,0,8,1,2,8,0,8,1,2,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/9,0,1,8,1,1,,8,0,8,1,2,8,0,8,1,2,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/10,0,1,8,1,1,,8,0,8,1,2,8,0,8,1,2,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/11,0,1,8,1,1,,8,0,8,1,3,8,0,8,1,2,8,0,1,8,1,0,,8,0,8,1,0,8
2020/12/12,0,1,8,1,1,,8,0,8,1,3,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,0,8
