ダウンロードした時刻：2021/11/20 21:46:05

,珠洲,珠洲,珠洲,珠洲,珠洲,輪島,輪島,輪島,輪島,輪島,輪島,輪島,七尾,七尾,七尾,七尾,七尾,金沢,金沢,金沢,金沢,金沢,金沢,金沢,白山河内,白山河内,白山河内,白山河内,白山河内,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷
年月日,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm)
,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2020/12/1,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,0,8
2020/12/2,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8
2020/12/3,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8
2020/12/4,0,8,1,0,8,0,1,8,1,0,1,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8
2020/12/5,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8
2020/12/6,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8
2020/12/7,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,2,8,0,8,1,1,8
