ダウンロードした時刻：2021/11/20 21:48:58

,相川,相川,相川,相川,相川,相川,相川,下関,下関,下関,下関,下関,新潟,新潟,新潟,新潟,新潟,新潟,新潟,津川,津川,津川,津川,津川,新津,新津,新津,新津,新津,長岡,長岡,長岡,長岡,長岡,守門,守門,守門,守門,守門,小出,小出,小出,小出,小出,柏崎,柏崎,柏崎,柏崎,柏崎,高田,高田,高田,高田,高田,高田,高田,能生,能生,能生,能生,能生,関山,関山,関山,関山,関山,津南,津南,津南,津南,津南,湯沢,湯沢,湯沢,湯沢,湯沢,十日町,十日町,十日町,十日町,十日町
年月日,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2020/12/1,0,1,8,1,0,,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,0,8,0,8,1,0,8,0,8,1,2,8,0,8,1,1,8,,1,1,0,8,0,1,8,1,1,,8,0,8,1,0,8,0,4,1,2,8,0,8,1,3,8,0,8,1,1,8,0,8,1,1,8
2020/12/2,0,1,8,1,0,,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,0,8,0,8,1,0,8,1,8,1,3,8,0,8,1,1,8,,1,1,0,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,2,8,0,8,1,3,8,0,4,1,2,8,0,8,1,2,8
2020/12/3,0,1,8,1,0,,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,0,8,0,8,1,1,8,1,8,1,3,8,0,8,1,1,8,,1,1,0,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,3,8,0,8,1,4,8,0,8,1,2,8,0,4,1,2,8
2020/12/4,0,1,8,1,0,1,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,0,8,0,8,1,1,8,0,8,1,4,8,0,8,1,1,8,,1,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,3,8,0,8,1,4,8,0,8,1,2,8,0,8,1,2,8
2020/12/5,0,1,8,1,0,,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,8,1,1,8,1,8,1,4,8,0,8,1,2,8,,1,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,3,8,0,8,1,5,8,0,8,1,3,8,0,5,1,3,8
2020/12/6,0,1,8,1,0,,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,2,8,0,8,1,1,8,0,8,1,1,8,0,8,1,5,8,0,8,1,2,8,,1,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,5,1,4,8,0,8,1,5,8,0,5,1,3,8,0,5,1,3,8
2020/12/7,0,1,8,1,0,,8,0,8,1,2,8,0,1,8,1,0,,8,0,8,1,2,8,0,8,1,1,8,0,8,1,1,8,0,8,1,5,8,0,8,1,2,8,,1,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,4,8,0,8,1,6,8,0,8,1,4,8,0,8,1,4,8
2020/12/8,0,1,8,1,0,1,8,0,8,1,2,8,0,1,8,1,0,,8,0,8,1,2,8,0,8,1,1,8,0,8,1,2,8,0,8,1,6,8,0,8,1,3,8,,1,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,5,8,0,8,1,7,8,0,8,1,4,8,0,8,1,4,8
