ダウンロードした時刻：2021/11/19 00:45:36

,朝日,朝日,朝日,朝日,朝日,魚津,魚津,魚津,魚津,魚津,伏木,伏木,伏木,伏木,伏木,伏木,伏木,氷見,氷見,氷見,氷見,氷見,砺波,砺波,砺波,砺波,砺波,富山,富山,富山,富山,富山,富山,富山
年月日,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,平年値(cm),平年値(cm),,,,,平年値(cm),平年値(cm),平年値(cm)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報
2020/12/1,0,8,1,0,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,8,1,0,8,0,1,8,1,0,,8
2020/12/2,0,8,1,0,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,8,1,0,8,0,1,8,1,0,,8
2020/12/3,0,8,1,0,8,0,8,1,0,8,0,1,8,1,0,,8,0,8,1,0,8,0,8,1,1,8,0,1,8,1,0,,8
2020/12/4,0,8,1,0,8,0,5,1,1,8,0,1,8,1,0,1,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,0,1,8
2020/12/5,0,8,1,0,8,0,8,1,1,8,0,1,8,1,0,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8
2020/12/6,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8
2020/12/7,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8
