ダウンロードした時刻：2021/11/22 16:08:17

,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,大野,大野,大野,大野,大野,大野,大野,大野,今庄,今庄,今庄,今庄,今庄,今庄,今庄,今庄,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,敦賀,小浜,小浜,小浜,小浜,小浜,小浜,小浜,小浜
年月日,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,平年値(cm),平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,,平年値(cm),平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm),,,,平年値(cm),平年値(cm),過去10年平均(cm),過去10年平均(cm),過去10年平均(cm)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2020/11/1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/2,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/3,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/4,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/5,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/6,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/7,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/8,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/9,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/10,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/11,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/12,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/13,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/14,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/15,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/16,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/17,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/18,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/19,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/20,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/21,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/22,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/23,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/24,0,1,5,1,0,1,8,0,1,8,1,0,5,1,0,8,1,8,1,0,5,1,0,8,0,8,1,0,1,5,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/25,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,5,1,0,8,0,8,1
2020/11/26,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,5,1,0,8,0,8,1
2020/11/27,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/28,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/29,0,1,8,1,0,1,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/11/30,0,1,8,1,0,1,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/12/1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/12/2,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/12/3,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,1,8,1,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/12/4,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/12/5,0,1,8,1,0,,8,1,0,8,1,0,8,1,1,8,3,8,1,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1
2020/12/6,0,1,8,1,0,,8,1,0,8,1,0,8,1,2,8,3,8,1,0,8,1,1,8,5,8,1,0,1,8,1,0,,8,2,0,8,1,0,8,1,0,8,0,8,1
2020/12/7,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,1,8,1,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1
2020/12/8,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,1,8,1,0,8,1,2,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1
2020/12/9,0,1,8,1,1,,8,2,0,8,1,0,8,1,2,8,4,8,1,0,8,1,2,8,2,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,0,8,0,8,1
2020/12/10,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,1,8,1,0,8,1,2,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,2,8,1
2020/12/11,0,1,8,1,1,,8,0,0,8,1,0,8,1,3,8,2,8,1,0,8,1,2,8,2,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1
2020/12/12,0,1,8,1,1,,8,1,0,8,1,0,8,1,3,8,4,8,1,0,8,1,2,8,4,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,0,8,1,5,1
2020/12/13,0,1,8,1,1,,8,1,0,8,1,0,8,1,3,8,4,8,1,0,8,1,2,8,4,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,0,8,0,8,1
2020/12/14,1,0,8,1,1,,8,2,0,8,1,0,8,1,3,8,5,8,1,0,8,1,3,8,3,8,1,0,1,8,1,1,,8,2,0,8,1,0,8,1,0,8,0,8,1
2020/12/15,1,0,8,1,1,,8,0,0,8,1,15,8,1,3,8,1,8,1,1,8,1,3,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,1,8,1,0,8,0,8,1
2020/12/16,10,0,8,1,1,,8,1,0,8,1,24,8,1,3,8,2,8,1,20,8,1,3,8,2,8,1,12,0,8,1,1,,8,0,0,8,1,5,8,1,0,8,0,8,1
2020/12/17,5,0,8,1,1,,8,2,0,8,1,16,8,1,3,8,6,8,1,14,8,1,3,8,6,8,1,0,1,8,1,1,,8,2,0,8,1,2,8,1,1,8,1,8,1
2020/12/18,0,1,8,1,1,,8,1,0,8,1,11,8,1,3,8,3,8,1,9,8,1,3,8,3,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,1,8,1
