年月日,富山最深積雪(cm),富山最深積雪(cm)過去10年平均(cm),富山最深積雪(cm)平年値(cm),富山最深積雪/平年値平均(cm)
2020/12/1,0,0,0,0.0
2020/12/10,0,5,3,3.0
2020/12/11,0,5,3,3.0
2020/12/12,0,4,3,3.0
2020/12/13,0,4,4,4.0
2020/12/14,8,6,4,4.0
2020/12/15,14,4,4,4.0
2020/12/16,34,4,5,5.0
2020/12/17,36,5,5,5.0
2020/12/18,29,5,5,5.0
2020/12/19,23,3,5,5.0
2020/12/2,0,0,1,1.0
2020/12/20,25,2,6,6.0
2020/12/21,21,1,6,6.0
2020/12/22,16,2,6,6.0
2020/12/23,11,1,7,7.0
2020/12/24,8,5,7,7.0
2020/12/25,1,8,7,7.0
2020/12/26,0,10,7,7.0
2020/12/27,0,13,8,8.0
2020/12/28,0,13,8,8.0
2020/12/29,0,11,8,8.0
2020/12/3,0,0,1,1.0
2020/12/30,4,8,8,8.0
2020/12/31,21,7,8,8.0
2020/12/4,0,0,1,1.0
2020/12/5,0,1,1,1.0
2020/12/6,0,2,1,1.0
2020/12/7,0,3,2,2.0
2020/12/8,0,3,2,2.0
2020/12/9,0,6,2,2.0
2021/1/1,23,8,9,1.7780548628428927
2021/1/10,128,6,12,9.895261845386534
2021/1/11,125,10,12,9.663341645885287
2021/1/12,109,11,12,8.42643391521197
2021/1/13,96,10,12,7.4214463840399
2021/1/14,84,12,13,6.493765586034913
2021/1/15,74,11,13,5.720698254364089
2021/1/16,66,11,13,5.102244389027431
2021/1/17,53,11,13,4.097256857855362
2021/1/18,59,11,13,4.561097256857855
2021/1/19,64,11,13,4.947630922693267
2021/1/2,33,7,9,2.5511221945137157
2021/1/20,61,10,14,4.71571072319202
2021/1/21,57,7,14,4.406483790523691
2021/1/22,55,6,14,4.251870324189526
2021/1/23,50,9,15,3.865336658354115
2021/1/24,47,16,15,3.6334164588528677
2021/1/25,44,21,15,3.401496259351621
2021/1/26,42,23,16,3.2468827930174564
2021/1/27,37,24,16,2.8603491271820447
2021/1/28,32,22,16,2.4738154613466334
2021/1/29,47,18,17,3.6334164588528677
2021/1/3,32,11,9,2.4738154613466334
2021/1/30,53,17,17,4.097256857855362
2021/1/31,42,18,17,3.2468827930174564
2021/1/4,26,9,9,2.0099750623441395
2021/1/5,21,8,10,1.6234413965087282
2021/1/6,18,6,10,1.3915211970074812
2021/1/7,40,5,11,3.092269326683292
2021/1/8,100,5,11,7.73067331670823
2021/1/9,127,5,11,9.817955112219451
